class_or_metric,precision,recall,f1-score,support
preop,0.7619047619047619,0.7272727272727273,0.7441860465116279,22.0
post-op,0.9154929577464789,0.9285714285714286,0.9219858156028369,70.0
accuracy,0.8804347826086957,0.8804347826086957,0.8804347826086957,0.8804347826086957
macro avg,0.8386988598256204,0.827922077922078,0.8330859310572324,92.0
weighted avg,0.8787653456973726,0.8804347826086957,0.8794684795158088,92.0
