metabolite,importance,stddev,p_value,n,p99_high,p99_low
L-valine,0.06318181818181823,0.030765963773326962,0.0050456014785970355,5,0.12652936282190744,-0.00016572645827098165
Dimethyl sulfone,0.05798701298701303,0.019975581737327303,0.0014523929498314965,5,0.09911701187605008,0.016857014097975978
isopropanol,0.0311688311688312,0.01572581953027576,0.00570250514946186,5,0.06354851093559329,-0.0012108485979308858
lipoproteins,0.02448051948051948,0.009720217475028485,0.0024457453336863945,5,0.044494581609285884,0.004466457351753078
glycine,0.012272727272727279,0.013952353081785355,0.060299670391434364,5,0.0410008151101364,-0.016455360564681845
L-leucine,0.006558441558441608,0.004812428742301553,0.019063592785715466,5,0.016467298853674314,-0.0033504157367910984
