rank_by_test_auc,metabolite,train_roc_auc,test_roc_auc,auc_gap_train_minus_test,test_accuracy,test_balanced_accuracy,test_f1,overfit_flag_auc_gap_gt_0_10
1,L-valine,1.0,0.801948051948052,0.19805194805194803,0.8260869565217391,0.7142857142857143,0.8904109589041096,True
2,Dimethyl sulfone,1.0,0.7756493506493506,0.2243506493506494,0.8043478260869565,0.7155844155844155,0.8732394366197183,True
3,L-leucine,1.0,0.7363636363636363,0.26363636363636367,0.7717391304347826,0.662987012987013,0.8531468531468531,True
4,isopropanol,1.0,0.7353896103896105,0.2646103896103895,0.717391304347826,0.6116883116883117,0.8142857142857143,True
5,lipoproteins,1.0,0.7055194805194804,0.29448051948051956,0.6847826086956522,0.6058441558441559,0.7851851851851852,True
6,glycine,1.0,0.5925324675324676,0.4074675324675324,0.717391304347826,0.5649350649350648,0.821917808219178,True
