metabolite,importance,stddev,p_value,n,p99_high,p99_low
L-valine,0.06344155844155838,0.021079656408951406,0.00126989893013117,5,0.1068448623394031,0.020038254543713656
Dimethyl sulfone,0.04116883116883112,0.016392728211071465,0.0024709216523952863,5,0.07492168512700911,0.007415977210653131
lipoproteins,0.026948051948051877,0.012135215318851112,0.003837945187545715,5,0.051934628016066464,0.0019614758800372903
isopropanol,0.023766233766233703,0.018004703195452845,0.020951055565225345,5,0.06083816649711493,-0.01330569896464753
glycine,0.0050649350649349945,0.008896340882235409,0.1359773380188402,5,0.023382623901955814,-0.013252753772085825
L-leucine,0.004220779220779169,0.0020534270520573767,0.005029855140023559,5,0.008448813902343281,-7.255460784942602e-06
