split,n_samples,preop_like_n,transition_n,postop_like_n,confident_coverage_pct,rule_accuracy_confident_only,rule_accuracy_if_transition_excluded_n
train,373,135,85,153,77.21179624664879,0.7916666666666666,288
test,92,39,13,40,85.86956521739131,0.7848101265822784,79
