model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.9451298701298702,0.9259634888438134,roc_auc,0.07716798782348633,0.0582270622253418,1.320363998413086,0.07716798782348633,0.0582270622253418,1.320363998413086,1,True,4
ExtraTreesGini,0.9425324675324674,0.9345841784989858,roc_auc,0.0706019401550293,0.05175614356994629,0.5673480033874512,0.0706019401550293,0.05175614356994629,0.5673480033874512,1,True,3
RandomForestEntr,0.9298701298701298,0.9381338742393509,roc_auc,0.05943107604980469,0.07042884826660156,0.6726720333099365,0.05943107604980469,0.07042884826660156,0.6726720333099365,1,True,2
WeightedEnsemble_L2,0.9259740259740259,0.9452332657200812,roc_auc,0.1441960334777832,0.0930626392364502,1.0372798442840576,0.003225088119506836,0.0011746883392333984,0.02697277069091797,2,True,5
RandomForestGini,0.9243506493506494,0.9447261663286004,roc_auc,0.07036900520324707,0.04013180732727051,0.4429590702056885,0.07036900520324707,0.04013180732727051,0.4429590702056885,1,True,1
